address	city	id	name	phone	type
435 s la cienega blv 	los angeles	1	arnie morton s of chicago	310 246 1501	american
435 s la cienega blvd 	los angeles	2	arnie morton s of chicago	310 246 1501	steakhouses
12224 ventura blvd 	studio city	3	art s delicatessen	818 762 1221	american
12224 ventura blvd 	studio city	4	art s deli	818 762 1221	delis
701 stone canyon rd 	bel air	5	hotel bel air	310 472 1211	californian
701 stone canyon rd 	bel air	6	bel air hotel	310 472 1211	californian
14016 ventura blvd 	sherman oaks	7	cafe bizou	818 788 3536	french
14016 ventura blvd 	sherman oaks	8	cafe bizou	818 788 3536	french bistro
624 s la brea ave 	los angeles	9	campanile	213 938 1447	american
624 s la brea ave 	los angeles	10	campanile	213 938 1447	californian
2709 main st 	santa monica	11	chinois on main	310 392 9025	french
2709 main st 	santa monica	12	chinois on main	310 392 9025	pacific new wave
6703 melrose ave 	los angeles	13	citrus	213 857 0034	californian
6703 melrose ave 	los angeles	14	citrus	213 857 0034	californian
8358 sunset blvd west	hollywood	15	fenix	213 848 6677	american
8358 sunset blvd 	w hollywood	16	fenix at the argyle	213 848 6677	french new 
23725 w malibu rd 	malibu	17	granita	310 456 0488	californian
23725 w malibu rd 	malibu	18	granita	310 456 0488	californian
9560 dayton way	los angeles	19	grill on the alley	310 276 0615	american
9560 dayton way	beverly hills	20	grill the	310 276 0615	american traditional 
1972 n hillhurst ave 	los angeles	21	restaurant katsu	213 665 1891	asian
1972 hillhurst ave 	los feliz	22	katsu	213 665 1891	japanese
903 n la cienega blvd 	los angeles	23	l orangerie	310 652 9770	french
903 n la cienega blvd 	w hollywood	24	l orangerie	310 652 9770	french classic 
8284 melrose ave 	los angeles	25	le chardonnay	213 655 8880	french
8284 melrose ave 	los angeles	26	le chardonnay los angeles 	213 655 8880	french bistro
3rd st 	los angeles	27	locanda veneta	310 274 1893	italian
8638 w third st 	los angeles	28	locanda veneta	310 274 1893	italian
129 n la cienega blvd 	beverly hills	29	matsuhisa	310 659 9639	asian
129 n la cienega blvd 	beverly hills	30	matsuhisa	310 659 9639	seafood
9001 santa monica blvd 	los angeles	31	the palm	310 550 8811	american
9001 santa monica blvd 	w hollywood	32	palm the los angeles 	310 550 8811	steakhouses
5955 melrose ave 	los angeles	33	patina	213 467 1108	californian
5955 melrose ave 	los angeles	34	patina	213 467 1108	californian
1001 n alameda st 	los angeles	35	philippe s the original	213 628 3781	american
1001 n alameda st 	chinatown	36	philippe the original	213 628 3781	cafeterias
12969 ventura blvd 	los angeles	37	pinot bistro	818 990 0500	french
12969 ventura blvd 	studio city	38	pinot bistro	818 990 0500	french bistro
617 s olive st 	los angeles	39	rex il ristorante	213 627 2300	italian
617 s olive st 	los angeles	40	rex il ristorante	213 627 2300	nuova cucina italian
1114 horn ave 	los angeles	41	spago	310 652 4025	californian
8795 sunset blvd 	w hollywood	42	spago los angeles 	310 652 4025	californian
3115 pico blvd 	santa monica	43	valentino	310 829 4313	italian
3115 pico blvd 	santa monica	44	valentino	310 829 4313	italian
67 n raymond ave 	los angeles	45	yujean kang s gourmet chinese cuisine	818 585 0855	asian
67 n raymond ave 	pasadena	46	yujean kang s	818 585 0855	chinese
21 w 52nd st 	new york	47	21 club	212 582 7200	american
21 w 52nd st 	new york city	48	21 club	212 582 7200	american new 
13 w 54th st 	new york	49	aquavit	212 307 7311	continental
13 w 54th st 	new york city	50	aquavit	212 307 7311	scandinavian
34 e 61st st 	new york	51	aureole	212 319 1660	american
34 e 61st st 	new york city	52	aureole	212 319 1660	american new 
201 w 83rd st 	new york	53	cafe lalo	212 496 6031	coffee bar
201 w 83rd st 	new york city	54	cafe lalo	212 496 6031	coffeehouses
1 w 67th st 	new york	55	cafe des artistes	212 877 3500	continental
1 w 67th st 	new york city	56	cafe des artistes	212 877 3500	french classic 
2450 broadway between 90th and 91st sts 	new york	57	carmine s	212 362 2200	italian
2450 broadway	new york city	58	carmine s	212 362 2200	italian
854 7th ave between 54th and 55th sts 	new york	59	carnegie deli	212 757 2245	delicatessen
854 seventh ave 	new york city	60	carnegie deli	212 757 2245	delis
2 harrison st near hudson st 	new york	61	chanterelle	212 966 6960	american
2 harrison st 	new york city	62	chanterelle	212 966 6960	french new 
20 e 76th st 	new york	63	daniel	212 288 0033	french
20 e 76th st 	new york city	64	daniel	212 288 0033	french new 
210 e 58th st 	new york	65	dawat	212 355 7555	asian
210 e 58th st 	new york city	66	dawat	212 355 7555	indian
243 e 58th st 	new york	67	felidia	212 758 1479	italian
243 e 58th st 	new york city	68	felidia	212 758 1479	italian
99 e 52nd st 	new york	69	four seasons grill room	212 754 9494	american
99 e 52nd st 	new york city	70	four seasons	212 754 9494	american new 
12 e 12th st 	new york	71	gotham bar grill	212 620 4020	american
12 e 12th st 	new york city	72	gotham bar grill	212 620 4020	american new 
42 e 20th st between park ave s and broadway	new york	73	gramercy tavern	212 477 0777	american
42 e 20th st 	new york city	74	gramercy tavern	212 477 0777	american new 
402 w 44th st 	new york	75	island spice	212 765 1737	tel caribbean
402 w 44th st 	new york city	76	island spice	212 765 1737	caribbean
160 e 64th st 	new york	77	jo jo	212 223 5656	american
160 e 64th st 	new york city	78	jo jo	212 223 5656	french bistro
33 w 55th st 	new york	79	la caravelle	212 586 4252	french
33 w 55th st 	new york city	80	la caravelle	212 586 4252	french classic 
60 w 55th st between 5th and 6th ave 	new york	81	la cote basque	212 688 6525	french
60 w 55th st 	new york city	82	la cote basque	212 688 6525	french classic 
155 w 51st st 	new york	83	le bernardin	212 489 1515	french
155 w 51st st 	new york city	84	le bernardin	212 489 1515	seafood
160 central park s	new york	85	les celebrites	212 484 5113	french
155 w 58th st 	new york city	86	les celebrites	212 484 5113	french classic 
2 e 55th st 	new york	87	lespinasse	212 339 6719	american
2 e 55th st 	new york city	88	lespinasse new york city 	212 339 6719	asian
249 e 50th st 	new york	89	lutece	212 752 2225	french
249 e 50th st 	new york city	90	lutece	212 752 2225	french classic 
57 w 58th st 	new york	91	manhattan ocean club	212 371 7777	seafood
57 w 58th st 	new york city	92	manhattan ocean club	212 371 7777	seafood
405 e 58th st 	new york	93	march	212 754 6272	american
405 e 58th st 	new york city	94	march	212 754 6272	american new 
102 5th ave between 15th and 16th sts 	new york	95	mesa grill	212 807 7400	american
102 fifth ave 	new york city	96	mesa grill	212 807 7400	southwestern
57 jane st off hudson st 	new york	97	mi cocina	212 627 8273	mexican
57 jane st 	new york city	98	mi cocina	212 627 8273	mexican
239 w broadway between walker and white sts 	new york	99	montrachet	212 219 2777	french
239 w broadway	new york city	100	montrachet	212 219 2777	french bistro
55 e 54th st 	new york	101	oceana	212 759 5941	seafood
55 e 54th st 	new york city	102	oceana	212 759 5941	seafood
100 e 63rd st 	new york	103	park avenue cafe	212 644 1900	american
